"Dato";"Kategori";"Underkategori";"Tekst";"Beløb";"Saldo";"Status";"Afstemt"
"28.10.2025";"Transport                                                                     ";"Taxa                                                                          ";"UBER\ \HELP.UBER.COM\";"-133,04";"101.626,01";"Udført";"Ja"
"28.10.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"AREAS PORTUGAL SA\ \LISBOA\";"-34,91";"101.591,10";"Udført";"Nej"
"28.10.2025";"Dagligvarer                                                                   ";"Supermarked                                                                   ";"SADIA\ \LISBOA\";"-56,31";"101.534,79";"Udført";"Nej"
"28.10.2025";"Øvrige udgifter                                                               ";"Andet                                                                         ";"Audible*N47F20XD0\ \Amzn.co...";"-114,05";"101.420,74";"Udført";"Nej"
"28.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-1,71";"101.419,03";"Udført";"Nej"
"28.10.2025";"Transport                                                                     ";"Taxa                                                                          ";"UBER *TRIP HELP.UBER.COM \ ...";"-339,00";"101.080,03";"Udført";"Ja"
"29.10.2025";"Transport                                                                     ";"Taxa                                                                          ";"UBER\ \HELP.UBER.COM\";"-299,33";"100.780,70";"Udført";"Ja"
"30.10.2025";"Transport                                                                     ";"Parkering                                                                     ";"Apcoa Parking DK";"-995,00";"99.785,70";"Udført";"Nej"
"31.10.2025";"Løn og pension                                                                ";"Løn                                                                           ";"LØNOVERFØRSEL";"51.220,00";"151.005,70";"Udført";"Nej"
"31.10.2025";"Bolig                                                                         ";"Bolig-/andelsboliglån                                                         ";"Nedbetaling huslån - PRM";"-7.298,00";"143.707,70";"Udført";"Nej"
"31.10.2025";"Bolig                                                                         ";"Bolig-/andelsboliglån                                                         ";"Huslån - PRM";"-7.298,00";"136.409,70";"Udført";"Nej"
"31.10.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"AREAS PORTUGAL SA\ \LISBOA\";"-155,02";"136.254,68";"Udført";"Nej"
"31.10.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"VERSAILLES I-ROTISSE\ \LISBOA\";"-27,78";"136.226,90";"Udført";"Nej"
"31.10.2025";"Dagligvarer                                                                   ";"Supermarked                                                                   ";"LISBON DUTY FREE\ \LISBOA\";"-1,13";"136.225,77";"Udført";"Nej"
"03.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"PlayStation Network\ \Sony ...";"-594,00";"135.631,77";"Udført";"Ja"
"03.11.2025";"Øvrige udgifter                                                               ";"Andet                                                                         ";"3 Danmark\ \Koebenhavn SV\";"-170,00";"135.461,77";"Udført";"Ja"
"03.11.2025";"Øvrige udgifter                                                               ";"Telefon                                                                       ";"hiper.dk           07617";"-339,00";"135.122,77";"Udført";"Ja"
"03.11.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Dagligvarer - PRM";"-4.500,00";"130.622,77";"Udført";"Ja"
"03.11.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"Vuggestue - PRM";"-3.068,00";"127.554,77";"Udført";"Ja"
"03.11.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"El, vand og varme - PRM";"-1.084,00";"126.470,77";"Udført";"Ja"
"03.11.2025";"Personforsikringer                                                            ";"Ulykkesforsikring                                                             ";"Ulykkesforsikring";"-588,80";"125.881,97";"Udført";"Ja"
"03.11.2025";"Bolig                                                                         ";"Husforsikring                                                                 ";"Hus, indboforsikr - PRM";"-387,00";"125.494,97";"Udført";"Ja"
"03.11.2025";"Transport                                                                     ";"Bilforsikring                                                                 ";"Bilforsikr, afgift - PRM";"-300,00";"125.194,97";"Udført";"Ja"
"03.11.2025";"Personforsikringer                                                            ";"Sundhedsforsikring                                                            ";"Sundhedsforsikring - PRM";"-191,00";"125.003,97";"Udført";"Ja"
"03.11.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"Renovation - PRM";"-171,00";"124.832,97";"Udført";"Ja"
"03.11.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"Spotify, iCloud - PRM";"-97,00";"124.735,97";"Udført";"Ja"
"03.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"iCloud Fastefæll.udgifte";"69,00";"124.804,97";"Udført";"Nej"
"04.11.2025";"Fornøjelser og fritid                                                         ";"Ferie                                                                         ";"SAS INFLIGHT\ \Solna\";"-22,00";"124.782,97";"Udført";"Ja"
"05.11.2025";"Øvrige udgifter                                                               ";"Fagforening                                                                   ";"Ida Ingeniørfore. i Danm";"-878,25";"123.904,72";"Udført";"Ja"
"06.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Tandlægeselskabet  40760";"-4.065,00";"119.839,72";"Udført";"Nej"
"06.11.2025";"Dagligvarer                                                                   ";"Fast food/take away                                                           ";"Jagger - Frederiks 06569";"-167,00";"119.672,72";"Udført";"Ja"
"10.11.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"MALTHE P KAF_\ \Frederiksberg\";"-40,00";"119.632,72";"Udført";"Nej"
"13.11.2025";"Øvrige udgifter                                                               ";"Andet                                                                         ";"Audible*B87KN0OO0\ \Amzn.co...";"-96,74";"119.535,98";"Udført";"Nej"
"13.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-1,45";"119.534,53";"Udført";"Nej"
"14.11.2025";"Fornøjelser og fritid                                                         ";"Fritidsaktivitet                                                              ";"SAUNASTUDIE.YOGO.DK/\ \ISHOJ\";"-200,00";"119.334,53";"Udført";"Nej"
"16.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Maximilian Wiese";"-2.000,00";"117.334,53";"Udført";"Nej"
"17.11.2025";"Dagligvarer                                                                   ";"Supermarked                                                                   ";"7-Eleven B055      04066";"-45,00";"117.289,53";"Udført";"Nej"
"17.11.2025";"Dagligvarer                                                                   ";"Bager                                                                         ";"Rondo ApS          30973";"-144,00";"117.145,53";"Udført";"Nej"
"18.11.2025";"Fornøjelser og fritid                                                         ";"Fritidsaktivitet                                                              ";"SAUNASTUDIE.YOGO.DK/\ \ISHOJ\";"-200,00";"116.945,53";"Udført";"Nej"
"18.11.2025";"Dagligvarer                                                                   ";"Fast food/take away                                                           ";"MCDVALBY\ \VALBY\";"-28,00";"116.917,53";"Udført";"Nej"
"18.11.2025";"Dagligvarer                                                                   ";"Bager                                                                         ";"R-BAKERY V/RENE OSTERG\ \HV...";"-75,00";"116.842,53";"Udført";"Nej"
"19.11.2025";"Transport                                                                     ";"Andet                                                                         ";"FREETRAILER\ \COPENHAGEN\";"-84,00";"116.758,53";"Udført";"Nej"
"19.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Clara Sonne Kops";"-8.040,00";"108.718,53";"Udført";"Nej"
"20.11.2025";"Dagligvarer                                                                   ";"Supermarked                                                                   ";"REMA 1000 Rødovre  85054";"-19,60";"108.698,93";"Udført";"Nej"
"20.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"tipster.dk         3-1-4";"-175,00";"108.523,93";"Udført";"Nej"
"20.11.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            37323";"-22,00";"108.501,93";"Udført";"Nej"
"22.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Majken Nyholt";"800,00";"109.301,93";"Udført";"Nej"
"22.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Tim Mølgaard Madsen";"-580,00";"108.721,93";"Udført";"Nej"
"24.11.2025";"Dagligvarer                                                                   ";"Supermarked                                                                   ";"7-Eleven B013      08217";"-26,00";"108.695,93";"Udført";"Nej"
"24.11.2025";"Transport                                                                     ";"Andet                                                                         ";"FREETRAILER\ \COPENHAGEN\";"-84,00";"108.611,93";"Udført";"Nej"
"24.11.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"Top up";"-1.000,00";"107.611,93";"Udført";"Nej"
"25.11.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"Peders\ \Alleroed\";"-67,00";"107.544,93";"Udført";"Nej"
"25.11.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"Boulebar Danmark ApS\ \Koeb...";"-130,00";"107.414,93";"Udført";"Nej"
"25.11.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"EGEBAK & N?RREVANG ApS - \ ...";"-130,00";"107.284,93";"Udført";"Nej"
"25.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"PlayStation Network\ \Sony ...";"-295,20";"106.989,73";"Udført";"Nej"
"25.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"TREKRONER APOTEK   21697";"-338,10";"106.651,63";"Udført";"Nej"
"26.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"tipster.dk         4-1-1";"-150,00";"106.501,63";"Udført";"Nej"
"26.11.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            21314";"-22,00";"106.479,63";"Udført";"Nej"
"26.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Tina Madsen";"-1.000,00";"105.479,63";"Udført";"Nej"
"26.11.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            73680";"-22,00";"105.457,63";"Udført";"Nej"
"27.11.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            46911";"-22,00";"105.435,63";"Udført";"Nej"
"27.11.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            80791";"-22,00";"105.413,63";"Udført";"Nej"
"27.11.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Orion Shanti Dals...";"500,00";"105.913,63";"Udført";"Nej"
"28.11.2025";"Løn og pension                                                                ";"Løn                                                                           ";"LØNOVERFØRSEL";"53.229,00";"159.142,63";"Udført";"Nej"
"28.11.2025";"Bolig                                                                         ";"Bolig-/andelsboliglån                                                         ";"Nedbetaling huslån - PRM";"-7.298,00";"151.844,63";"Udført";"Nej"
"28.11.2025";"Bolig                                                                         ";"Bolig-/andelsboliglån                                                         ";"Huslån - PRM";"-7.298,00";"144.546,63";"Udført";"Nej"
"28.11.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            47957";"-22,00";"144.524,63";"Udført";"Nej"
"01.12.2025";"Tøj, sko og personlig pleje                                                   ";"Tøj/sko                                                                       ";"STOY.COM\ \AARHUS C\";"-879,00";"143.645,63";"Udført";"Nej"
"01.12.2025";"Øvrige udgifter                                                               ";"Andet                                                                         ";"3 Danmark\ \Koebenhavn SV\";"-170,00";"143.475,63";"Udført";"Nej"
"01.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            68814";"-19,00";"143.456,63";"Udført";"Nej"
"01.12.2025";"Dagligvarer                                                                   ";"Supermarked                                                                   ";"DSB 7-Eleven Kvikk 00441";"-39,00";"143.417,63";"Udført";"Nej"
"01.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            52486";"-19,00";"143.398,63";"Udført";"Nej"
"01.12.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Dagligvarer - PRM";"-4.500,00";"138.898,63";"Udført";"Nej"
"01.12.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"Vuggestue - PRM";"-3.068,00";"135.830,63";"Udført";"Nej"
"01.12.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"El, vand og varme - PRM";"-1.084,00";"134.746,63";"Udført";"Nej"
"01.12.2025";"Bolig                                                                         ";"Husforsikring                                                                 ";"Hus, indboforsikr - PRM";"-387,00";"134.359,63";"Udført";"Nej"
"01.12.2025";"Transport                                                                     ";"Bilforsikring                                                                 ";"Bilforsikr, afgift - PRM";"-300,00";"134.059,63";"Udført";"Nej"
"01.12.2025";"Personforsikringer                                                            ";"Sundhedsforsikring                                                            ";"Sundhedsforsikring - PRM";"-191,00";"133.868,63";"Udført";"Nej"
"01.12.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"Renovation - PRM";"-171,00";"133.697,63";"Udført";"Nej"
"01.12.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"Spotify, iCloud - PRM";"-97,00";"133.600,63";"Udført";"Nej"
"01.12.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"iCloud Fastefæll.udgifte";"69,00";"133.669,63";"Udført";"Nej"
"01.12.2025";"Øvrige udgifter                                                               ";"Telefon                                                                       ";"hiper.dk           49127";"-339,00";"133.330,63";"Udført";"Nej"
"01.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            22752";"-22,00";"133.308,63";"Udført";"Nej"
"01.12.2025";"Tøj, sko og personlig pleje                                                   ";"Personlig pleje                                                               ";"Helsebixen.dk      66758";"-407,88";"132.900,75";"Udført";"Nej"
"01.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            78476";"-28,00";"132.872,75";"Udført";"Nej"
"02.12.2025";"Dagligvarer                                                                   ";"Fast food/take away                                                           ";"KAFFE V/LASSE JOHANSEN\ \KO...";"-42,00";"132.830,75";"Udført";"Nej"
"02.12.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"THE BIRD APS\ \KOBENHAVN K  \";"-455,00";"132.375,75";"Udført";"Nej"
"02.12.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"THE BIRD APS\ \KOBENHAVN K  \";"-360,00";"132.015,75";"Udført";"Nej"
"02.12.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"THE BIRD APS\ \KOBENHAVN K  \";"-230,00";"131.785,75";"Udført";"Nej"
"02.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            06682";"-22,00";"131.763,75";"Udført";"Nej"
"02.12.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Til Dagligvarer";"-2.000,00";"129.763,75";"Udført";"Nej"
"03.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            86167";"-22,00";"129.741,75";"Udført";"Ja"
"04.12.2025";"Tøj, sko og personlig pleje                                                   ";"Tøj/sko                                                                       ";"SP XERO SHOES EU\ \HLAVNI M...";"-634,30";"129.107,45";"Udført";"Ja"
"04.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            19907";"-42,00";"129.065,45";"Udført";"Ja"
"05.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            54526";"-22,00";"129.043,45";"Udført";"Ja"
"05.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            23226";"-22,00";"129.021,45";"Udført";"Ja"
"07.12.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Louise Hagemann";"-500,00";"128.521,45";"Udført";"Ja"
"08.12.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"SKATTEFORVALTNING Ro";"-682,00";"127.839,45";"Udført";"Nej"
"08.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            56997";"-42,00";"127.797,45";"Udført";"Ja"
"08.12.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Georges Pitarch";"-500,00";"127.297,45";"Udført";"Ja"
"08.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            06891";"-22,00";"127.275,45";"Udført";"Ja"
"09.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            86455";"-22,00";"127.253,45";"Udført";"Ja"
"09.12.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"tipster.dk         5-2-4";"-148,00";"127.105,45";"Udført";"Ja"
"09.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            46831";"-22,00";"127.083,45";"Udført";"Ja"
"10.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            11830";"-22,00";"127.061,45";"Udført";"Ja"
"10.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            55614";"-22,00";"127.039,45";"Udført";"Ja"
"11.12.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"tipster.dk         1-2-3";"-470,00";"126.569,45";"Udført";"Ja"
"12.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            61472";"-22,00";"126.547,45";"Udført";"Ja"
"12.12.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Anders Viking Øst...";"-2.229,00";"124.318,45";"Udført";"Ja"
"12.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            18619";"-22,00";"124.296,45";"Udført";"Ja"
"12.12.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Ronja Cykel";"-2.000,00";"122.296,45";"Udført";"Ja"
"13.12.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Trendhim ApS";"-604,00";"121.692,45";"Udført";"Nej"
"15.12.2025";"Øvrige udgifter                                                               ";"Andet                                                                         ";"Audible*B688M8H63\ \Amzn.co...";"-96,10";"121.596,35";"Udført";"Ja"
"15.12.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-1,44";"121.594,91";"Udført";"Ja"
"15.12.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"Espresso House7152 44693";"-94,00";"121.500,91";"Udført";"Ja"
"15.12.2025";"Øvrige udgifter                                                               ";"Elartikler/hvidevarer                                                         ";"Power Rødovre      83931";"-379,00";"121.121,91";"Udført";"Ja"
"15.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            37709";"-22,00";"121.099,91";"Udført";"Ja"
"15.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            88135";"-22,00";"121.077,91";"Udført";"Ja"
"16.12.2025";"Øvrige udgifter                                                               ";"Møbler/andet boligudstyr                                                      ";"GASTROINVENTAR.DK\ \TILST\";"-1.361,25";"119.716,66";"Udført";"Nej"
"16.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            72355";"-17,60";"119.699,06";"Udført";"Nej"
"16.12.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"Original Coffee Jo 47113";"-83,00";"119.616,06";"Udført";"Nej"
"16.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            81811";"-22,00";"119.594,06";"Udført";"Nej"
"17.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            81467";"-22,00";"119.572,06";"Udført";"Nej"
"17.12.2025";"Dagligvarer                                                                   ";"Supermarked                                                                   ";"Bilka.dk           04410";"-138,00";"119.434,06";"Udført";"Nej"
"17.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            26856";"-22,00";"119.412,06";"Udført";"Nej"
"18.12.2025";"Bolig                                                                         ";"Andet                                                                         ";"KOWALOVE PAWEL WROBEL\ \NOW...";"-180,00";"119.232,06";"Udført";"Nej"
"19.12.2025";"Dagligvarer                                                                   ";"Slagter                                                                       ";"KOEDHUSET.DK/\ \SMORUM\";"-1.967,00";"117.265,06";"Udført";"Nej"
"19.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            23841";"-42,00";"117.223,06";"Udført";"Nej"
"19.12.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            67032";"-22,00";"117.201,06";"Udført";"Nej"
"23.12.2025";"Dagligvarer                                                                   ";"Bager                                                                         ";"R-BAKERY V/RENE OSTERG\ \HV...";"-122,00";"117.079,06";"Udført";"Ja"
"23.12.2025";"Dagligvarer                                                                   ";"Bager                                                                         ";"R-BAKERY V/RENE OSTERG\ \HV...";"-67,00";"117.012,06";"Udført";"Ja"
"23.12.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"Callisens\ \K?benhavn S  \";"-41,00";"116.971,06";"Udført";"Ja"
"24.12.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Til Dagligvarer";"-2.000,00";"114.971,06";"Udført";"Nej"
"30.12.2025";"Løn og pension                                                                ";"Løn                                                                           ";"LØNOVERFØRSEL";"53.229,00";"168.200,06";"Udført";"Nej"
"30.12.2025";"Bolig                                                                         ";"Bolig-/andelsboliglån                                                         ";"Nedbetaling huslån - PRM";"-7.298,00";"160.902,06";"Udført";"Nej"
"30.12.2025";"Bolig                                                                         ";"Bolig-/andelsboliglån                                                         ";"Huslån - PRM";"-7.298,00";"153.604,06";"Udført";"Nej"
"30.12.2025";"Fornøjelser og fritid                                                         ";"Aviser/blade/bøger                                                            ";"AMZN Mktp DE*Z585Z2AM4\ \AM...";"-368,04";"153.236,02";"Udført";"Nej"
"30.12.2025";"Dagligvarer                                                                   ";"Bager                                                                         ";"R-BAKERY V/RENE OSTERG\ \HV...";"-135,00";"153.101,02";"Udført";"Nej"
"30.12.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Orion Shanti Dals...";"-442,00";"152.659,02";"Udført";"Nej"
"31.12.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Rente";"28,39";"152.687,41";"Udført";"Nej"
