"Dato";"Kategori";"Underkategori";"Tekst";"Beløb";"Saldo";"Status";"Afstemt"
"09.09.2025";"Fornøjelser og fritid                                                         ";"Ferie                                                                         ";"Trip.com\ \Amsterdam\";"-3.063,76";"104.088,87";"Udført";"Ja"
"09.09.2025";"Fornøjelser og fritid                                                         ";"Ferie                                                                         ";"Trip.com\ \Amsterdam\";"-668,80";"103.420,07";"Udført";"Nej"
"09.09.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Trip.com\ \Amsterdam\";"3.063,76";"106.483,83";"Udført";"Ja"
"09.09.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Til Dagligvarer";"-4.000,00";"102.483,83";"Udført";"Nej"
"09.09.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Tillidsbar - Brem...";"-35,00";"102.448,83";"Udført";"Nej"
"09.09.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Tillidsbar - Brem...";"-30,00";"102.418,83";"Udført";"Nej"
"09.09.2025";"Tøj, sko og personlig pleje                                                   ";"Personlig pleje                                                               ";"proshave.dk        14512";"-1.305,00";"101.113,83";"Udført";"Nej"
"10.09.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"Killer Kebab       05011";"-95,00";"101.018,83";"Udført";"Nej"
"10.09.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            42910";"-17,60";"101.001,23";"Udført";"Nej"
"10.09.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            73752";"-22,00";"100.979,23";"Udført";"Nej"
"12.09.2025";"Fornøjelser og fritid                                                         ";"Fritidsaktivitet                                                              ";"Amer Sports Denmark\ \Kokke...";"-765,00";"100.214,23";"Udført";"Nej"
"13.09.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Tina Madsen";"-1.600,00";"98.614,23";"Udført";"Nej"
"15.09.2025";"Øvrige udgifter                                                               ";"Andet                                                                         ";"Audible*W64VK39D3\ \Amzn.co...";"-95,55";"98.518,68";"Udført";"Nej"
"15.09.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-1,43";"98.517,25";"Udført";"Nej"
"15.09.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            83595";"-22,00";"98.495,25";"Udført";"Nej"
"15.09.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            45203";"-22,00";"98.473,25";"Udført";"Nej"
"16.09.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"Darcys at CC\ \Copenhagen\";"-42,00";"98.431,25";"Udført";"Nej"
"16.09.2025";"Fornøjelser og fritid                                                         ";"Fritidsaktivitet                                                              ";"Marathon Sport ApS 43301";"-1.340,00";"97.091,25";"Udført";"Nej"
"16.09.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"TREKRONER APOTEK   93466";"-573,40";"96.517,85";"Udført";"Nej"
"24.09.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"BonusTryghedsGruppen";"801,69";"97.319,54";"Udført";"Nej"
"24.09.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Til Dagligvarer";"-2.000,00";"95.319,54";"Udført";"Nej"
"25.09.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"BABA(VAVA)\ \BUSAN\";"-20,64";"95.298,90";"Udført";"Nej"
"25.09.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,31";"95.298,59";"Udført";"Nej"
"30.09.2025";"Løn og pension                                                                ";"Løn                                                                           ";"LØNOVERFØRSEL";"51.220,00";"146.518,59";"Udført";"Nej"
"30.09.2025";"Bolig                                                                         ";"Bolig-/andelsboliglån                                                         ";"Nedbetaling huslån - PRM";"-7.298,00";"139.220,59";"Udført";"Nej"
"30.09.2025";"Bolig                                                                         ";"Bolig-/andelsboliglån                                                         ";"Huslån - PRM";"-7.298,00";"131.922,59";"Udført";"Nej"
"30.09.2025";"Dagligvarer                                                                   ";"Andet                                                                         ";"DAEBO\ \BUSAN\";"-137,52";"131.785,07";"Udført";"Nej"
"30.09.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-2,06";"131.783,01";"Udført";"Nej"
"30.09.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"JOOSIKHWESA DONGSOO\ \JEJU\";"-71,01";"131.712,00";"Udført";"Nej"
"30.09.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-1,07";"131.710,93";"Udført";"Nej"
"30.09.2025";"Dagligvarer                                                                   ";"Andet                                                                         ";"LODDEOIBAIKHOAJEOM GOANGB\ ...";"-231,49";"131.479,44";"Udført";"Nej"
"30.09.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-3,47";"131.475,97";"Udført";"Nej"
"30.09.2025";"Transport                                                                     ";"Andet                                                                         ";"LOTTELENTAL\ \jeju\";"-1.550,35";"129.925,62";"Udført";"Nej"
"30.09.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-23,26";"129.902,36";"Udført";"Nej"
"30.09.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"CO., LTD. GONG-CHA KOREA \ ...";"-59,63";"129.842,73";"Udført";"Nej"
"30.09.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,89";"129.841,84";"Udført";"Nej"
"01.10.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Ferie";"-5.000,00";"124.841,84";"Udført";"Nej"
"01.10.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Dagligvarer - PRM";"-4.500,00";"120.341,84";"Udført";"Nej"
"01.10.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"Vuggestue - PRM";"-3.068,00";"117.273,84";"Udført";"Nej"
"01.10.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"El, vand og varme - PRM";"-1.084,00";"116.189,84";"Udført";"Nej"
"01.10.2025";"Bolig                                                                         ";"Husforsikring                                                                 ";"Hus, indboforsikr - PRM";"-387,00";"115.802,84";"Udført";"Nej"
"01.10.2025";"Transport                                                                     ";"Bilforsikring                                                                 ";"Bilforsikr, afgift - PRM";"-300,00";"115.502,84";"Udført";"Nej"
"01.10.2025";"Personforsikringer                                                            ";"Sundhedsforsikring                                                            ";"Sundhedsforsikring - PRM";"-191,00";"115.311,84";"Udført";"Nej"
"01.10.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"Renovation - PRM";"-171,00";"115.140,84";"Udført";"Nej"
"01.10.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"Spotify, iCloud - PRM";"-97,00";"115.043,84";"Udført";"Nej"
"01.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"iCloud Fastefæll.udgifte";"69,00";"115.112,84";"Udført";"Nej"
"01.10.2025";"Personforsikringer                                                            ";"A-kasse                                                                       ";"Akademikernes A-Kasse";"-1.497,00";"113.615,84";"Udført";"Nej"
"01.10.2025";"Øvrige udgifter                                                               ";"Andet                                                                         ";"3 Danmark\ \Koebenhavn SV\";"-170,00";"113.445,84";"Udført";"Nej"
"01.10.2025";"Transport                                                                     ";"Andet                                                                         ";"JEJU AIR\ \JEJU-SI\";"-180,25";"113.265,59";"Udført";"Nej"
"01.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-2,70";"113.262,89";"Udført";"Nej"
"01.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"JEJU AIR\ \JEJU-SI\";"247,13";"113.510,02";"Udført";"Nej"
"01.10.2025";"Øvrige udgifter                                                               ";"Telefon                                                                       ";"hiper.dk           16029";"-339,00";"113.171,02";"Udført";"Nej"
"02.10.2025";"Dagligvarer                                                                   ";"Andet                                                                         ";"OLLEH ABALONE KIMBAP\ \SEOG...";"-45,52";"113.125,50";"Udført";"Nej"
"02.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,68";"113.124,82";"Udført";"Nej"
"02.10.2025";"Fornøjelser og fritid                                                         ";"Fritidsaktivitet                                                              ";"Arca ApS\ \Copenhagen N \";"-529,00";"112.595,82";"Udført";"Nej"
"02.10.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"FOOD\ \SEOGWIPO-SI  \";"-27,31";"112.568,51";"Udført";"Nej"
"02.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,41";"112.568,10";"Udført";"Nej"
"03.10.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"EIBAWOOTJOONGMOONJUM\ \JEJU\";"-57,01";"112.511,09";"Udført";"Nej"
"03.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,86";"112.510,23";"Udført";"Nej"
"03.10.2025";"Transport                                                                     ";"Andet                                                                         ";"JEJU AIR\ \JEJU-SI\";"-301,13";"112.209,10";"Udført";"Nej"
"03.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-4,52";"112.204,58";"Udført";"Nej"
"03.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"JEJU AIR\ \JEJU-SI\";"737,10";"112.941,68";"Udført";"Nej"
"06.10.2025";"Transport                                                                     ";"Brændstof                                                                     ";"SAMNAM PETROLEUM CO., LTD\ ...";"-144,58";"112.797,10";"Udført";"Ja"
"06.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-2,17";"112.794,93";"Udført";"Nej"
"06.10.2025";"Transport                                                                     ";"Brændstof                                                                     ";"SAMNAM PETROLEUM CO., LTD\ ...";"-13,55";"112.781,38";"Udført";"Ja"
"06.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,20";"112.781,18";"Udført";"Nej"
"06.10.2025";"Fornøjelser og fritid                                                         ";"Ferie                                                                         ";"CO., LTD.  CHEONGWON\ \JEJU...";"-136,82";"112.644,36";"Udført";"Ja"
"06.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-2,05";"112.642,31";"Udført";"Nej"
"06.10.2025";"Fornøjelser og fritid                                                         ";"Ferie                                                                         ";"CO., LTD.  CHEONGWON\ \JEJU...";"-29,65";"112.612,66";"Udført";"Nej"
"06.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,44";"112.612,22";"Udført";"Nej"
"07.10.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"MOKMYEOK SANBANG  MAIN BR\ ...";"-75,37";"112.536,85";"Udført";"Nej"
"07.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-1,13";"112.535,72";"Udført";"Nej"
"07.10.2025";"Dagligvarer                                                                   ";"Fast food/take away                                                           ";"POLBASEDJEJOOGONGHANGK\ \JEJU\";"-51,42";"112.484,30";"Udført";"Nej"
"07.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,77";"112.483,53";"Udført";"Nej"
"07.10.2025";"Dagligvarer                                                                   ";"Andet                                                                         ";"7-ELEVEN\ \Seoul\";"-32,31";"112.451,22";"Udført";"Nej"
"07.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,48";"112.450,74";"Udført";"Nej"
"07.10.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"INSA-DONG TOBANG  4483184\ ...";"-136,20";"112.314,54";"Udført";"Nej"
"07.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-2,04";"112.312,50";"Udført";"Nej"
"07.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"CO., LTD. TAGO\ \SEOUL\";"-108,96";"112.203,54";"Udført";"Nej"
"07.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-1,63";"112.201,91";"Udført";"Nej"
"08.10.2025";"Tøj, sko og personlig pleje                                                   ";"Personlig pleje                                                               ";"CO., LTD. SPAREX  GOOD MO\ ...";"-59,02";"112.142,89";"Udført";"Nej"
"08.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,89";"112.142,00";"Udført";"Nej"
"08.10.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"MILAK KIMBAP\ \SEOUL\";"-97,61";"112.044,39";"Udført";"Nej"
"08.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-1,46";"112.042,93";"Udført";"Nej"
"08.10.2025";"Dagligvarer                                                                   ";"Supermarked                                                                   ";"LOTTEPEULESI SEOULDAIHAKL\ ...";"-39,05";"112.003,88";"Udført";"Nej"
"08.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,59";"112.003,29";"Udført";"Nej"
"09.10.2025";"Øvrige udgifter                                                               ";"Andet                                                                         ";"Audible*NF5H80X30\ \Amzn.co...";"-138,79";"111.864,50";"Udført";"Nej"
"09.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-2,08";"111.862,42";"Udført";"Nej"
"09.10.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"CO., LTD. GONG-CHA KOREA \ ...";"-23,15";"111.839,27";"Udført";"Nej"
"09.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-0,35";"111.838,92";"Udført";"Nej"
"10.10.2025";"Tøj, sko og personlig pleje                                                   ";"Tøj/sko                                                                       ";"POINT\ \SEOUL\";"-68,43";"111.770,49";"Udført";"Nej"
"10.10.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-1,03";"111.769,46";"Udført";"Nej"
"10.10.2025";"Tøj, sko og personlig pleje                                                   ";"Tøj/sko                                                                       ";"POINT\ \SEOUL\";"-118,60";"111.650,86";"Udført";"Nej"
